Symbol,Facility Gov ID,Facility Year
INT,1010720,2015
SWN,1009509,2011
WM,1010773,2015
GJO,1010779,2016
MTDR,1012068,2019
COG,1010931,2016
CHCO,1010935,2019
BTT,1010938,2015
CHCO,1010955,2015
CHCO,1010957,2015
CHCO,1010961,2015
WM,1010983,2015
TG,1011034,2015
CHCO,1011061,2015
GOOG,1011082,2019
CRT,1011100,2015
NGS,1011116,2019
AXAS,1011185,2015
BAC,1011632,2019
CHCO,1011215,2019
WM,1011226,2015
ORAN,1011227,2015
COG,1013004,2019
NOA,1011242,2016
MTRN,1011243,2015
CHCO,1011254,2015
CHCO,1011256,2015
CHCO,1011331,2019
TSLA,1011389,2019
MUR,1008113,2011
NLY,1011450,2019
COG,1011463,2015
WM,1011531,2019
CHCO,1011612,2015
CHCO,1011631,2015
BPMP,1006929,2012
COG,1011652,2015
CHNR,1011684,2018
GDP,1010684,2015
CDEV,1011690,2019
COG,1013003,2017
GPOR,1007462,2010
COG,1011761,2018
INSP,1011769,2016
ESTE,1013483,2019
MEOH,1011799,2016
COG,1011809,2019
NGL,1011817,2019
ORN,1011823,2018
ORN,1011823,2018
BRC,1011823,2018
BRC,1011823,2018
EXPR,1011833,2016
BRKS,1011844,2016
CPLP,1012665,2019
COG,1012060,2016
SBT,1011986,2016
BOCH,1011987,2015
CHCO,1012020,2015
WM,1012038,2018
BTO,1012054,2019
COG,1012059,2016
CHCO,1012067,2016
COG,1012070,2016
AMTX,1012089,2012
CHCO,1012097,2016
CPE,1012129,2016
CHCO,1012133,2016
BPMP,1013558,2019
OXY,1008409,2011
DOOR,1012407,2019
WM,1012494,2019
BPMP,1012506,2019
LPX,1012527,2019
HCCI,1012651,2019
COG,1012750,2019
WFG,1012765,2017
HCDI,1012869,2019
CHNR,1012909,2018
COG,1013064,2018
SWN,1012947,2019
EAD,1012988,2019
CVM,1012992,2017
COG,1013026,2017
BPMP,1013086,2019
AREC,1013087,2017
MH^C,1013151,2019
BCC,1013715,2019
FSK,1013203,2019
PPSI,1013284,2019
COG,1013301,2019
WM,1013315,2019
COG,1013324,2019
TGI,1013337,2019
BCE,1013751,2019
COG,1013367,2019
MH^C,1013375,2019
TS,1013497,2019
RFP,1002130,2011
CHCO,1013540,2019
KMI,1013556,2019
ALTM,1013556,2019
KMI,1013572,2019
ALTM,1013572,2019
MGY,1013576,2019
CHCO,1013606,2019
NGS,1013609,2019
EXPR,1013613,2019
BAC,1013620,2019
REI,1013622,2019
MRBK,1013659,2015
BPMP,1013679,2019
WM,1013691,2019
AACQU,1010544,2015
AMN,1013700,2017
BCE,1013732,2019
L,1013757,2019
BAC,1013764,2014
ARD,1006060,2015
ASH,1004504,2011
KRA,1000032,2015
MPC,1007913,2011
ALSN,1000048,2016
PAA,1003245,2010
AEP,1009888,2015
FE,1007887,2010
IDA,1000244,2010
NEE,1000131,2011
NGS,1000137,2015
EURN,1007576,2010
AZEK,1000176,2015
JEF,1000197,2018
BIP,1012159,2015
REYN,1004260,2015
ENB,1006841,2015
AEP,1000251,2011
DOW,1010380,2015
CVA,1007914,2015
CTA^A,1007916,2011
RFP,1005422,2016
RFP,1011735,2015
GPP,1002926,2015
ERII,1000362,2015
GSBC,1007432,2011
AEP,1007359,2011
GM,1010579,2011
BIIB,1000383,2014
PCG,1000388,2015
MH^C,1000441,2015
CHCO,1001059,2015
IPLDP,1007650,2011
MH^C,1004859,2017
BANC,1006873,2011
CHCO,1000581,2015
CWEN,1005637,2018
HUN,1010589,2015
LW,1012645,2016
LW,1012645,2018
LW,1000615,2018
AA,1007937,2011
CHCO,1003969,2015
CHCO,1004207,2015
CPLP,1007825,2015
OVBC,1009886,2011
UGI,1011225,2016
PEG,1009888,2011
NWE,1010712,2015
PBF,1007844,2015
PEG,1001081,2011
CHCO,1006024,2015
CHCO,1010076,2015
NEE,1010316,2015
ADS,1007920,2016
BKCC,1001232,2018
PG,1009528,2011
WHG,1001249,2014
ULCC,1001303,2018
BAC,1001316,2015
PII,1001352,2017
AQN,1006409,2015
CHCO,1009555,2015
CHCO,1001568,2017
CHCO,1002843,2016
TRGP,1011970,2015
ASAI,1007195,2010
CHNR,1011970,2015
NGS,1007102,2011
UNFI,1011725,2014
REGI,1001865,2011
CSWC,1001908,2011
FCX,1011728,2011
HII,1001958,2011
CHCO,1001984,2015
OC,1010899,2015
ELAN,1002020,2018
LLY,1004469,2011
TAP,1002057,2017
EXPR,1011820,2015
SHW,1005031,2015
EXPR,1002931,2015
EXPR,1002931,2015
LECO,1002114,2015
CHCO,1007970,2015
CHCO,1006654,2015
WM,1002168,2015
MUR,1012583,2016
MDLZ,1002194,2016
CHNR,1012450,2018
CRD/A,1002276,2015
CHCO,1002328,2015
CHCO,1003144,2015
MH^C,1006911,2015
MH^C,1007402,2016
JELD,1002559,2016
WM,1007677,2015
TALO,1010060,2015
NOC,1005862,2018
MUJ,1002582,2011
ET,1002611,2018
BANC,1002612,2011
CVX,1002668,2015
MRO,1010422,2015
CHCO,1005493,2015
SXC,1011529,2011
HWKN,1002794,2015
ACA,1013060,2018
COG,1009126,2015
WCN,1007345,2018
PQG,1008044,2011
WM,1003033,2015
RM,1003035,2011
HIHO,1003036,2015
BAC,1009018,2011
NVS,1003098,2015
SNII,1003175,2015
MGU,1011650,2015
SWN,1003311,2010
BPMP,1003539,2015
GPK,1006734,2011
GER,1003494,2017
COG,1003558,2011
MH^C,1003769,2017
MH^C,1003794,2018
WM,1003605,2015
AEP,1010191,2011
TVC,1003667,2015
FMS,1003712,2011
HAL,1003913,2015
COG,1003754,2015
EXC,1003769,2018
CHCO,1003818,2016
CMP,1009764,2011
NGS,1012037,2015
CWEN,1003978,2018
BLDP,1003980,2011
CHCO,1003986,2015
CLH,1009930,2015
MH^C,1004033,2011
CHCO,1011959,2015
CHCO,1004093,2015
VNTR,1004127,2018
CHCO,1006286,2015
CHNR,1012510,2018
LNN,1004199,2018
WM,1004204,2016
CHCO,1004285,2015
CHCO,1004420,2015
NGS,1010644,2015
CIZN,1004507,2015
CHCO,1004543,2015
AMPY,1004613,2018
WM,1009077,2015
USFD,1010722,2012
WM,1004956,2015
BPMP,1007714,2015
CNP,1005332,2015
