Symbol,Date,ESG Score,Environment,Emissions,Resource Use,Innovation,Social,Human Rights,Product Responsibility,Workforce,Community,Governance,Management,Shareholders,CSR Strategy
INSM,2021-06-19,42,0,0,0,0,61,0,28,83,90,52,74,15,0
INSP,2021-06-19,32,2,3,2,0,32,0,62,24,32,45,64,14,0
INT,2021-06-19,33,27,35,41,0,36,35,30,36,44,35,38,24,37
INTC,2021-06-19,88,90,97,100,76,84,97,32,100,96,92,99,68,96
INTU,2021-06-19,70,74,81,96,55,71,70,35,89,89,69,63,87,72
INVA,2021-06-19,23,0,0,0,0,20,0,15,26,48,43,45,66,0
INVH,2021-06-19,42,20,28,18,0,49,52,42,42,59,61,80,38,0
INZY,2021-06-19,29,0,0,0,0,38,0,26,51,50,39,41,59,0
IONS,2021-06-19,31,0,0,0,0,57,0,28,67,90,28,35,27,0
IOSP,2021-06-19,45,32,42,28,26,48,23,62,45,87,62,62,40,93
IOVA,2021-06-19,15,0,0,0,0,25,0,26,57,9,16,13,36,0
IP,2021-06-19,65,68,86,68,38,73,88,30,64,95,49,35,81,69
IPAR,2021-06-19,19,0,0,0,0,11,0,14,6,31,54,58,77,0
IPG,2021-06-19,61,60,92,78,0,62,90,34,70,66,61,54,65,89
IPGP,2021-06-19,54,59,72,32,82,57,35,81,58,68,46,51,19,59
IPI,2021-06-19,13,2,5,0,0,19,0,16,28,48,23,25,33,0
IQV,2021-06-19,58,40,35,50,0,85,72,75,97,89,46,59,7,39
IR,2021-06-19,44,40,38,40,40,40,20,38,52,58,53,50,58,62
IRBT,2021-06-19,33,6,0,15,0,54,85,6,24,68,47,56,46,0
IRDM,2021-06-19,25,9,26,0,0,27,44,17,12,42,32,34,47,0
IRM,2021-06-19,75,82,93,91,0,70,47,42,89,74,71,79,40,81
IRMD,2021-06-19,18,0,0,0,0,16,0,16,12,34,30,16,98,0
IRT,2021-06-19,33,31,36,35,0,41,0,42,30,59,26,29,30,6
IRTC,2021-06-19,24,0,0,0,0,38,0,66,50,34,16,12,43,0
IRWD,2021-06-19,48,0,0,0,0,77,0,75,86,89,54,80,6,0
ISBC,2021-06-19,28,3,11,6,0,38,0,31,44,62,25,33,17,0
ISEE,2021-06-19,22,0,0,0,0,55,0,98,15,50,7,5,18,0
ISRG,2021-06-19,48,24,39,33,0,37,16,16,63,65,74,76,99,23
ISTR,2021-06-19,31,2,11,0,0,21,0,31,11,45,56,67,56,0
IT,2021-06-19,65,40,66,75,0,58,62,35,70,68,80,92,57,50
ITCI,2021-06-19,31,0,0,0,0,60,0,77,67,51,25,32,17,0
ITGR,2021-06-19,46,0,0,0,0,50,46,46,16,84,61,60,90,24
ITI,2021-06-19,43,9,12,20,0,63,44,96,49,43,43,40,79,6
ITIC,2021-06-19,18,0,0,0,0,30,0,36,37,34,12,12,18,0
