Symbol,market_cap,pe_ratio,peg_ratio,eps_ratio,pb_ratio,ps_ratio,curr_ratio,ebit_ratio,roe_ratio
AZO,29983697000.00,17.579079,1.17,79.098,,2.2883284,,,
AZPN,9400342646.00,29.852089,2,4.665,12.923162,13.277757,,,
AZRX,70701903.00,,,-1.468,,,,,
AZYO,112300750.00,,,,,2.3961623,,,
AZZ,1358299025.00,34.921055,1.95,1.52,2.1382535,1.5838577,,,
B,2800609236.00,53.45227,2.65,1.037,2.0775862,2.5632937,,,
BA,145067985468.00,,-14.29,-20.547,,2.50911,,,
BAC,365105328001.00,17.862661,11.64,2.33,1.4318643,4.4095182,,,
BAH,11833266843.00,22.384594,2.07,3.921,11.274245,1.5398121,,,
BANC,924398982.00,57.1875,2.38,0.32,1.3053712,3.904688,,,
BAND,2980476022.00,,,-1.83,7.441483,8.300044,,,
BANF,2188387618.00,18.664068,2.2,3.593,2.054723,5.376475,,,
BANR,2038800993.00,14.589807,1.84,4.12,1.2898035,3.8150623,,,
BAX,41409861624.00,39.985508,2.17,2.07,4.9226837,3.522134,,,
BBBY,3656433466.00,,0.24,-1.241,2.432973,0.3301305,,,
BBI,61128671.00,,,-3.167,0.3682812,72.790054,,,
BBIG,146661827.00,,,,,13.1223545,,,
BBIO,9158584688.00,,0.19,-4.729,15.811639,1061.6627,,,
BBQ,143520756.00,67.758194,1.14,0.232,6.071804,1.0845883,,,
BBW,279151970.00,30.950087,0.29,0.569,3.4693851,0.9388559,,,
BBY,28801889465.00,12.88394,1.43,8.53,6.618489,0.54685384,,,
BC,7441574064.00,16.110367,0.92,5.962,4.557533,1.5538468,,,
BCAB,1537417480.00,,,,,3870.324,,,
BCC,2534870511.00,7.6006584,-0.37,7.898,2.3722584,0.3854349,,,
BCEI,1497359869.00,40.63613,0.35,1.179,0.95383143,6.5320883,,,
BCEL,378899408.00,,,-6.355,1.2015822,,,,
BCLI,138010532.00,,,-0.958,3.9017053,,,,
BCOR,803709186.00,2293.75,0.79,0.008,2.5721896,1.1537923,,,
BCRX,3019063093.00,,-0.57,-1.211,,89.1585,,,
BDC,2406501558.00,,1.23,-0.343,2.6670933,1.1566249,,,
BDJ,1966056297.00,,,-0.101,1.1208556,40.341927,,,
BDL,67357367.00,16.780941,,1.721,1.2582233,0.45692965,,,
BDSI,361691418.00,14.833333,0.58,0.24,3.2720585,2.2036548,,,
BDTX,459985385.00,,,-13.874,,,,,
BDX,70770682948.00,43.0417,1.75,5.612,2.829813,3.7244625,,,
BEAM,5369199092.00,,,-6.759,12.079896,217615.34,,,
BECN,3887905611.00,,1.7,-2.685,2.4988766,0.5376644,,,
BEEM,317897290.00,,,,,50.849667,,,
BELFA,179123203.00,10.630069,,1.603,1.129075,0.4358936,,,
BEN,17545386246.00,15.739534,0.95,2.15,1.6156601,2.459935,,,
BENE,148639625.00,,,,,,,,
BERY,8954662000.00,13.842749,0.85,4.744,3.5963855,0.7315471,,,
BFAM,8973193115.00,334.3722,1.55,0.446,7.023832,6.00707,,,
BFC,551998091.00,13.121146,,5.514,1.8257294,5.1266894,,,
BFIN,162020285.00,20.362976,2.5,0.551,0.95709294,3.2416964,,,
BFK,681173859.00,56.529846,,0.268,1.0749255,15.594003,,,
BFS,1090635000.00,38.024,,1.25,6.222833,4.9509015,,,
BFST,493476586.00,12.724359,,1.872,1.1892756,3.130494,,,
BFZ,466677660.00,18.331287,,0.815,0.9208579,18.697424,,,
BG,12557958067.00,10.425091,-1.43,7.716,2.090491,0.27382317,,,
BGCP,2433177623.00,30.679613,0.59,0.206,3.0311751,1.2468946,,,
BGFV,696569063.00,10.251939,-0.72,2.58,2.4261603,0.56622213,,,
BGH,337481745.00,,,,,,,,
BGIO,207298466.00,,,,,,,,
BGR,291375795.00,,,-3.871,1.2457172,24.178976,,,
BGS,2176965837.00,16.294119,34.8,2.04,2.5673904,1.0932919,,,
BGSF,126100542.00,93.571434,0.84,0.14,2.066898,0.48724738,,,
BGT,282857186.00,107.583336,,0.12,0.9633609,14.40228,,,
BGY,686928229.00,15.785715,,0.42,1.0209424,36.53639,,,
BHE,1094549153.00,60.983936,2.02,0.498,1.1203748,0.5321936,,,
BHF,3969686853.00,,0.1,-73.198,0.27592885,9.076853,,,
BHR,313110334.00,,-0.22,-3.101,0.93530446,1.6175944,,,
BHTG,43090000.00,,,-0.527,14.574469,5.137535,,,
BHV,30348116.00,230,,0.082,1.2246754,20.81636,,,
BHVN,6355118930.00,,,-14.281,,57.48963,,,
BIG,2473601437.00,3.7016232,2.01,17.622,1.7956836,0.35384902,,,
BIGC,4164327339.00,,,,,24.938868,,,
BIIB,61266749965.00,20.560884,-1.9,19.291,5.5919137,4.737759,,,
BIO,17297421912.00,4.4444776,2.56,135.872,1.6941553,6.613376,,,
BIOC,64332298.00,,-0.18,-0.519,2.15323,1.316651,,,
BIOL,108678432.00,,-0.32,-0.418,3.453125,4.4550085,,,
BIVI,208322759.00,,,-7.329,22.031824,,,,
BJ,6476828382.00,15.90304,-8.1,2.929,15.459675,0.41209292,,,
BJRI,1264821752.00,,15.81,-2.577,3.9974303,1.7415247,,,
BK,44316840475.00,13.664977,0.9,3.749,1.1098113,2.886715,,,
BKCC,328492740.00,,4.14,-0.399,0.9469088,5.2055187,,,
BKD,1351712888.00,,-0.37,-2.161,2.3329768,0.5763431,,,
